Organization|Mission Statement|Category|City|Volunteer Opportunities|Address|Phone Number|E-mail|Website|Notes||||||||||||||||
Goodwill|"To enhance individuals� dignity
and quality of life by strengthening
communities, eliminating barriers to
opportunity, and helping people in need
reach their full potential through learning
and the power of work.
"|Food/Necessities|.|Disassemble donated computers; Fix machines; Provide office support; Serve as Spanish translator; Mentor young adults; Internships |"3010 Williams Dr Suite 137, 
Georgetown, TX, 78628"|(512) 868-9547|.|www.goodwillcentraltexas.org|.||||||||||||||||
Lisa�s H.O.P.E. Chest|.|Food/Necessities|.|.|.,.,.,0|.|.|.|No longer active||||||||||||||||
Meals on Wheels and More (Now: Meals on Wheels Central Texas)|To nourish and enrich the lives of the homebound and other people in need through programs that promote dignity and independent living.|Food/Necessities|.|Deliver meals to homebound clients; Help clients with safety-related home repairs; Make periodic phone calls to homebound clients; Support clients with Alzheimer's and other forms of dementia; Deliver extra groceries; Grocery shop for clients; Help clients with pets� vet visits and food delivery |"3227 E 5th St.,
Austin, TX, 78702"|(512) 476-6325|email@mealsonwheelscentraltexas.org|www.mealsonwheelscentraltexas.org|.||||||||||||||||
Mobile Loaves and Fishes|To provide food and clothing, cultivate community, and promote dignity to our homeless brothers and sisters in need.|Food/Necessities|.|Prepare food; Load and drive trucks; Distribute food and necessities; Collect donations; Additional volunteer opportunities|.,.,.,0|(512) 328-7299|tony@mlf.org|www.mlf.org|.||||||||||||||||
The Salvation Army|To preach the gospel of Jesus Christ and to meet human needs in His name without discrimination.|Food/Necessities|.|Sort donations; Help in the kitchen; Assist with special projects as needed; Disaster relief; Help with fundraising|"1930 S. Austin Avenue Suite 101,
Georgetown, TX, 78626"|(512) 943-8421|Donna.Clendennen@uss.salvationarmy.org|www.salvationarmyaustin.org|.||||||||||||||||
Sustainable Food Center|To cultivate a healthy community by strengthening the local food system and improving access to nutritious, affordable food.|Food/Necessities|.|Volunteer at SFC Farmers� Markets; Help with administrative tasks; Pack seeds for SFC's Spread the Harvest event; Represent SFC at community events and health fairs; Volunteer in the garden; Assist with Intro to Food Gardening classes; Tanslate between Spanish and English; Provide childcare during classes|"2921 E 17th St Bldg C,
Austin, TX, 78702"|(512) 236-0074|becca@sustainablefoodcenter.org|www.sustainablefoodcenter.org|.||||||||||||||||
211|"To connect those needing social
and financial services to area providers."|General|.|None provided|"2000 E MLK Blvd.,
Austin, TX, 78702"|" 211`(512) 973-9201
"|211database@uwatx.org|www.211.org`www.211texas.org|United Way For Greater Austin is 211's Area Information Center for South Central Texas||||||||||||||||
Austin Area Urban League|To provide tools to African Americans and under-served populations to build a foundation for social and economic equality.|General|.|Help with fundraising efforts; Mentor youth; Participate in community mobilization projects; Support AAUL staff and programs|"8011A Cameron Road Building A-100,
Austin, TX, 78754

"|(512) 478-7176|communications@aaul.org|www.aaul.org|.||||||||||||||||
Austin Bridge Builders Alliance|To achieve a flourishing community by building alliances that break down barriers, bridging the Church to the community, and providing long-term solutions to social and spiritual needs.|General|.|Assist with programs; Be a table leader for ABBA's Business Leadership Series|"11211 Taylor Draper Lane Ste. 305,
Austin, TX, 78759"|(512) 458-2741|admin@abbaconnect.net|www.abbaconnect.net|.||||||||||||||||
Austin Steam Train Association|To preserve, interpret, and re-create the first-hand experience of historic steam-era railroading for the enjoyment and edification of today�s families and the generations to come.|General|.|"Work on-board as a car attendant;
Perform maintenance and restoration "|"401 E. Whitestone Blvd. Ste C-100,
Cedar Park, TX, 78613"|(512) 477-8468 extension 205|volunteers@austinsteamtrain.org|www.austinsteamtrain.org|.||||||||||||||||
Center for Maximum Potential Building Systems|To achieve ecologically balanced environments, responsible natural resource stewardship, and elevated community resilience and economic vitality through the creation of Protocols, Policies, and Prototypes.|General|.|Provide design, research, and construction support; Internships|"8604 FM 969,
Austin, TX, 78724"|(512) 928-4786|center@cmpbs.org|www.cmpbs.org|.||||||||||||||||
Entrepreneurs Foundation of Central Texas|"To promote philanthropy and community engagement, help 
entrepreneurs build corporate cultures and employee engagement 
that contribute to success, to support Capital Factory's community and 
philanthropic initiatives and to promote youth entrepreneurship
"|General|.|.|"701 Brazos Suite 501,
Austin, TX, 78701`PO Box 684826,
Austin, TX, 78768
"|(512) 482-8894|info@efctx.org|www.entrepreneursfoundation.org|.||||||||||||||||
GlobalAustin|"To ""connect Austin to the world, one handshake at a time"""|General|.|"Become a ""Hospitality Host"" of international visitors, internship opportunities"|"1103 W 24th Street Suite #212,
Austin, Texas, 78705"|(512) 215-0140|info@globalaustin.org|www.globalaustin.org|.||||||||||||||||
Greenlights (Now: Mission Capital)|To multiply the impact of mission-driven people and organizations.|General|.|.|"8303 N. MoPac Expwy Suite A201,
Austin, TX, 78759"|(512) 477-5955|info@missioncapital.org|www.missioncapital.org|.||||||||||||||||
Manos de Cristo|To empower low-income individuals with a loving hand of assistance and without regard to age, gender, race, or religious preference|General|.|Food pantry and clothing closet packing, event, marketing, and office opportunities, grounds upkeep, ESL teaching, practicum hours for CELTAs, dental center volunteer opportunities|"4911 Harmon Avenue,
Austin, TX, 78751"|(512) 477-7454|mdc@manosdecristo.org|www.manosdecristo.org|.||||||||||||||||
Network of Asian American Organizations|To unite and promote community through service, education and cultural programs|General|.|Become a member to receive volunteer opportunities|"7908 Cameron Rd,
Austin, Texas, 78754"|(512) 222-1266|info@naaotexas.org|www.naaotexas.org|.||||||||||||||||
PeopleFund|To create economic opportunity and financial stability for underserved people by providing access to capital, education and resources to build healthy small businesses|General|.|Become a One-To-One Mentor and assist in technical aspects of a local nonprofit, lead workshops for clients, event and office volunteer opportunities|"2921 E. 17th Street Building D Suite 1,
Austin, TX, 78702"|(512) 472-8087|.|www.peoplefund.org|.||||||||||||||||
Skillpoint Alliance|To provide a gateway for individuals to transform their lives through rigorous skills-based training and education|General|.|.|"201 E. 2nd St Suite B,
Austin, TX, 78701"|(512) 323-6773|.|www.skillpointalliance.org|.||||||||||||||||
Tibetan Art and Literature Initiative|Supports projects that promote Tibetan culture and language in Tibetan areas within the People�s Republic of China|General|.|Teach workshops, host fundraising events, write and illustrate children's books|"8127 Mesa Drive #B206 PMB 279,
Austin, TX, 78759"|.|info@talitibet.org|www.talitibet.org|.||||||||||||||||
United Way of the Capital Area (Now: For Greater Austin)|"To bring people, ideas and resources together to fight poverty in our community.

"|General|.|Projects benefiting local parks and trails, nonprofit agencies, schools, and community centers|"2000 E. MLK Jr. Blvd.,
Austin, Texas, 78702"|(512) 472-6267|info@uwatx.org|www.unitedwayaustin.org|.||||||||||||||||
Ventana Del Soul|To provide training and vocational mentoring to disadvantaged, disabled or underemployed persons so that they can build a career, attain financial stability and establish a higher quality of life as active citizens|General|.|Job coaching youth, mentoring, helping Youth Produce Market, event planning, music and art event coordination|"1712 E Riverside Dr #99,
Austin, TX, 78741"|(512) 468-5864|.|www.ventanadelsol.org|.||||||||||||||||
A*Med Community Hospice|To provide a high quality, comprehensive palliative program dedicated to promoting comfort and quality of life for clients and families facing a terminal illness.|Health|.|.|"7800 Shoal Creek Blvd Suite 242 South,
Austin, TX, 78757"|(512) 323-6500|.|www.amedhomehealth.com|.||||||||||||||||
ACTIVE Life|.|Health|.|.|.,.,.,0|.|.|.|Inactive||||||||||||||||
AGE of Central Texas|To tackle the challenges of aging with expert solutions, dedicated to older adults and those who care for them|Health|.|Contact AGE to receive specific volunteer oppoortunities|"3710 Cedar Street,
Austin, TX, 78705"|(512) 451-4611|info@ageofcentraltexas.org|www.ageofcentraltexas.org|.||||||||||||||||
AIDS Services of Austin|To enhance the health and well-being of the community and people affected by HIV and AIDS.|Health|.|Community events, facilities, fairs and tabling, Helping Hands Food Bank, prevention: condom distribution and mobile testing team, testing reception, Woemn Rising Project|"7215 Cameron Rd.,
Austin, TX, 78752
"|(512) 451-4611|joseph.breck@asaustin.org|www.asaustin.org|.||||||||||||||||
The Alzheimer�s Association|"To eliminate Alzheimer's disease through the advancement of research; to provide and enhance care and support for all affected; and to reduce the risk of dementia through the promotion of brain health.

"|Health|.|Public education and awareness programs, special events such as Walk to End Alzheimer's, office help, helpline support calls|"5508 Highway 290 West Suite 206, 
Austin, Texas, 78735"|(512) 592-0990|ascott@alz.org|www.alz.org/texascapital|.||||||||||||||||
American Cancer Society|Funding and conducting research, sharing expert information, supporting patients, and spreading the word about prevention to free the world from cancer|Health|.|.|.,.,.,0|.|.|www.cancer.org|.||||||||||||||||
American Diabetes Association|.|Health|.|.|.,.,.,0|.|.|.|.||||||||||||||||
American Red Cross of Central Texas|.|Health|.|.|.,.,.,0|.|.|.|.||||||||||||||||
Any Baby Can|We strengthen parents and their children through in-home therapies (physical, occupational, and speech pathology), medical case management, resource navigation, and family support services|Health|.|.|.,.,.,0|.|.|.|.||||||||||||||||
Austin Dog Alliance|We are passionate about improving lives by harnessing the healing power of our relationship with dogs|Health|.|Volunteers are out in the community with their therapy dog partners, rescuing dogs from shelters for placement as service dogs, and helping maintain our ranch|"1321 W. New Hope Drive,
Cedar Park, TX, 78613
"|(512) 335-7100|info@thedogalliance.org|www.thedogalliance.org|.||||||||||||||||
Austin Travis County Integral Care|To improve the lives of people affected by behavioral health and developmental and/or intellectual challenges|Health|.|Assist with registration, helping workshop presenters during breakout sessions, checking in volunteers, presenters, and exhibitors, pre-conference community outreach|"1165 Airport Blvd Second Floor,
Austin, TX, 78702
"|Crisis Tool #: (512) 472-4357|info@integralcare.org|www.integralcare.org|.||||||||||||||||
We Are Blood (Formerly: The Blood Center of Central Texas)|To provide and protect the community blood supply, to inspire Central Texans to save lives locally, and to always treat everyone we serve as family.|Health|.|Canteen hosts serve refreshments and are alert to symptoms of adverse reactions of donors, transportation volunteers perform scheduled pickup of blood, blood drive volunteers answer questions, greet donors, and engage with the public to recruit potential donors, office support  assists with marketing and promotion and preparing for fundraisers.|"4300 N. Lamar Blvd,
Austin, TX, 78756`2132 North Mays Suite 900,
Round Rock, TX, 78664`3100 W. Slaughter Ln,
Austin, TX, 78748
"|(512) 206-1189|volunteer@weareblood.org|www.weareblood.org|First address is Austin North. Second address is Round Rock. Third address is Austin South.||||||||||||||||
Cancer Connection|.|Health|.|.|.,.,.,0|.|.|.|No active information online, appears inactive||||||||||||||||
The Care Communities|To provide volunteer Care Teams, who provide practical and compassionate, non-medical care to people with AIDS and or cancer, helping them to stay in their homes as they face their illness|Health|.|.|"314 E Highland Mall Blvd Ste 495,
Austin, TX, 78752
"|(512) 459-5883|info@carecommunities.org|.|.||||||||||||||||
Children�s Partnership|To help families increase their capacity to live, work, learn and participate fully in their community|Health|.|Contact TCP for volunteer opportunities|"100 N. IH-35,
Austin, Texas, 78701
"|(512) 854-5022|sonia.hartman@traviscountytx.gov|https://www.traviscountytx.gov/health-human-services/children-and-youth/mental-health/the-childrens-partnership|.||||||||||||||||
City of Austin Health & Human Services|To prevent disease, promote health, and protect the well-being of our community, with the vision of making Austin/Travis County the healthiest  in the nation|Health|.|.|"7201 Levander Loop, 
Austin, TX, 78702`P.O. Box 1088,
Austin, TX, 78767"|(512) 972-5000|.|www.austintexas.gov/department/health|.||||||||||||||||
Lone Star Circle of Care|"Lone Star Circle of Care provides exceptional and accessible patient centered healthcare for our Texas neighbors. We will eliminate health inequalities to facilitate wellness and optimal living for all, helping strengthen our communities.

"|Health|.|.|"205 East University Avenue Suite 200,
Georgetown, Texas, 78626

"|(877) 800-5722|info@lscctx.org|www.lonestarcares.org|.||||||||||||||||
Mental Health Association in Texas|We are here to encourage our patients and stand with them together so they can beat their not that ordinary problems|Health|.|.|.,.,.,0|.|info@mhatexas.org|www.mhatexas.org|.||||||||||||||||
Migrant Clinicians Network|To create practical solutions at the intersection of poverty, migration, and health|Health|.|.|"P.O. Box 164285,
Austin, TX, 78716
"|(512) 327-2017|mcn@migrantclinician.org|www.migrantclinician.org|.||||||||||||||||
Muscular Dystrophy Association|To transform the lives of people affected by neuromuscular disease|Health|.|Event volunteers assist with events like MDA Muscle Walk, MDA Lock-Up, golf tournaments, and more. Serve as a counselor or medical volunteer at summer camp, represent MDA with community outreach, or assist with phone calls, auctions, etc. in office volunteer positions.|"9430 Research Blvd. Eschelon Bldg. 2 Suite 300,
Austin, TX, 78759"|(512) 691-0065|resourcecenter@mdausa.org|www.mda.org|.||||||||||||||||
NARAL Pro-Choice Texas|To develop and sustain a constituency that uses the political process to guarantee every Texan the right to make personal reproductive health decisions and to guarantee access to the full range of options, including preventing unintended pregnancy, bearing healthy children, and accessing legal abortion|Health|.|Block walking, phone banking, event planning, data entry, preparing bulk mailings, photography, social media, story sharing, legislative action term|"P.O. Box 684602,
Austin, TX, 78768"|(512) 462-1661|info@prochoicetexas.org|www.prochoicetexas.org|.||||||||||||||||
National Alliance on Mental Illness of Texas (NAMI)|To help improve the lives of people affected by mental illness through education, support, and advocacy|Health|.|Event assistance, fundraising efforts, advocacy work, and professional skills|"4110 Guadalupe St. Bldg. 781 4th Floor Room 419,
Austin, TX, 78751`PO Box 302398,
Austin, TX, 78703
"|(800) 633-3760`(512) 420-9810|info@namiaustin.org|www.namiaustin.org|.||||||||||||||||
Patient Privacy Rights Foundation|To honor and empower the individual�s right to privacy through personal control of health information wherever such information is collected and used|Health|.|.|"1006 Mopac Circle Suite 102,
Austin, TX, 78746`P.O. Box 248,
Austin, TX, 78767
"|(512) 732-0033|privacy@patientprivacyrights.org|www.patientprivacyrights.org|.||||||||||||||||
People�s Community Clinic|To improve the health of medically underserved and uninsured Central Texans by providing high quality, affordable health care with dignity and respect|Health|.|.|"1101 Camino La Costa, 
Austin, TX, 78752 "|(512) 478-4939|.|www.austinpccc.org|.||||||||||||||||
Phoenix House|We are passionate about healing individuals, families, and communities challenged by substance use disorders and related mental health conditions|Health|.|.|"400 W Live Oak Street,
Austin, TX, 78704"|(888) 671-9392|texas@phoenixhouse.org|www.phoenixhouse.org|.||||||||||||||||
Pick with Austin|To help educate and elevate a community awareness about the dangers of depression and to provide coping tools to those at-risk in our community|Health|.|Provide musical instruments to individuals in the juvenile justice system, meet with teens to promote creative outlets as alternatives to depression, guitar basics classes, seek community outreach programs and events to promote suicide awarness and prevention|"P.O. Box 5191,
Round Rock, TX, 78683
"|(512) 826-5380|jeffc@pickwithaustin.com|www.pickwithaustin.com|.||||||||||||||||
Livestrong (Formerly: Planet Cancer)|To improve the lives of people affected by cancer, now|Health|.|Fill out volunteer application to receive and participate in opportunities|"2201 E Sixth St,
Austin, TX, 78702
"|(512) 279-8394|livestrong@livestrong.org|www.livestrong.org|.||||||||||||||||
Planned Parenthood|To create healthier communities by providing comprehensive reproductive and related healthcare services, delivering science-based education programs, and serving as a strong advocate for reproductive justice in Texas|Health|.|Data entry, community outreach, event support, and volunteer program support|"201 E. Ben White Blvd Building B,
Austin, TX, 78704"|(512) 275-0171|volunteer@ppgt.org|www.plannedparenthood.org|.||||||||||||||||
Project Transitions|Dedicated to serving people with HIV and AIDS by providing supportive living, housing, recuperative care and hospice in compassionate and caring environments|Health|.|Caregivers at Doug's House Hospice to help residents with daily non-medical needs, sort and price donations and run thrift store, silent auction committee, handymen and suppliers, gardeners and landscapers, public relations, and e-Bay store managing|"7101 Woodrow Avenue,
Austin, TX, 78757"|(512) 454-8646|info@projecttransitions.org|www.projecttransitions.org|.||||||||||||||||
Religious Coalition for Reproductive Choice|A broad-based, national, interfaith movement that brings the moral force of religion to protect and advance reproductive health, choice, rights and justice through education, prophetic witness, pastoral presence and advocacy|Health|.|.|"1413 K Street NW 14th Floor, 
Washington, DC, 20005
"|(202) 628-7700|operations@rcrc.org|www.rcrc.org|"No active location in Texas, but a project called ""Southern Project"" focuses on benefiting southern states"||||||||||||||||
Ronald McDonald House|To create, find and support programs that directly improve the health and well-being of children and their families|Health|.|Contact volunteer coordinator for opportunities|"1315 Barbara Jordan Blvd,
Austin, TX, 78723
"|(512) 472-9844|rcarlin@rmhc-ctx.org|www.rmhc-ctx.org|.||||||||||||||||
Texas Health Institute|To advance and inform effective public health efforts, policies, and systems by engaging leaders, educating stakeholders, and empowering communities|Health|.|Complete a volunteer commitment form to receive opportunities|"8501 N Mopac Expressway Suite 170,
Austin, TX, 78759
"|(512) 279-3910|cgamble@texashealthinstitute.org|www.texashealthinstitute.org|.||||||||||||||||
Texas Mamma Jamma Ride|To help people in our local community facing breast cancer|Health|.|Complete volunteer registration for opportunities|"P.O. Box 302106,
Austin, TX, 78703"|(512) 297-7740|volunteer@mammajammaride.org|www.mammajammaride.org|.||||||||||||||||
Texas Medical Association|To provide distinctive solutions to the challenges they encounter in the care of patients.|Health|.|.|"401 West 15th Street,
Austin, Texas, 78701 "|(512) 370-1300|knowledge@texmed.org|www.texmed.org|.||||||||||||||||
Whole Woman�s Health|To provide holistic care for women like comprehensive gynecology services, including abortion care|Health|.|.|"8401 N IH 35 Suite 200,
Austin, TX, 78753
"|(512) 250-1005|info@wholewomenshealth.com|www.wholewomanshealth.com|.||||||||||||||||
Women�s Health and Family Planning Association of Texas|To provide reproductive healthcare to low income and uninsured women, men, and adolescents|Health|.|No volunteer opportunities, but internships are available|"1114 Lost Creek Blvd Suite 110,
Austin, TX, 78746"|(512) 448-4857|info@whfpt.org|www.whfpt.org|.||||||||||||||||
Wright House Wellness Center|To improve the lives of Central Texans living with, at risk for, and affected by HIV, AIDS and Hepatitis C through outreach, education, health and holistic services, and care coordination|Health|.|Contact to receive opportunities|"8101 Cameron Rd,
Austin, TX, 78722"|(512) 467-0088|info@thewrighthouse.org|www.thewrighthouse.org|.||||||||||||||||
Austin Tenant�s Council|To protect tenants� rights and educate the community on fair housing|Housing/Homelessness|.|Assist with the preparation of quarterly newsletter for bulk mailing distribution|"1640-B E 2nd St,
Austin, TX, 78702
"|(512) 474-7006|daniel@housing-rights.org|www.housing-rights.org|.||||||||||||||||
Foundation Communities|To provide people with an affordable, attractive place to call home, as well as opportunities right at their doorstep to transform their lives.|Housing/Homelessness|.|"Create ""Welcome Home"" baskets, participate in supper club, after-school and summer learning programs, ESL classes, financial coaching, money management, health insurance enrollment"|"3036 S. 1st St.,
Austin, TX, 78704"|(512) 447-2026|jackie.cuellar@foundcom.org|www.foundcom.org|.||||||||||||||||
Front Steps|To provide a pathway home for our neighbors experiencing homelessness by offering emergency shelter, affordable housing, recuperative medical care, supportive services, and promotes community awareness|Housing/Homelessness|.|Work with the mail and hygiene desk, kitchen volunteers, resource desk, computer lab, obtaining donations, administrative assistance, weather shelters|"500 E 7th Street,
Austin, TX, 78701`PO Box 684519,
Austin, TX, 78768
"|(512) 305-4144|keepaustinhoused@frontsteps.org|www.frontsteps.org|.||||||||||||||||
Green Doors|To prevent and help end homelessness and poverty housing for those working to achieve independent living in Central Texas|Housing/Homelessness|.|Help landscape a home, distribute food at food pantry, assist with fundraising activities, plan a donation or drive in community|"1503 S. I-35,
Austin, TX, 78741`PO Box 685065,
Austin, TX, 78768"|(512) 469-9130 X 312|efrenzel@greendoors.org|www.greendoors.org|.||||||||||||||||
Habitat for Humanity of Austin|To bring people together to build strong, stable and self-reliant communities through faith in action|Housing/Homelessness|.|Register online to receive opportunities|"500 Ben White Blvd,
Austin, TX, 78704
"|(512) 472-8788|volservices@ahfh.org|www.austinhabitat.org|.||||||||||||||||
Central Texas Coalition Against Human Trafficking|To work collaboratively to increase public awareness and identification of human trafficking cases, and to provide identified victims of human trafficking with comprehensive social and medical services|Human Trafficking|.|Google AdWords, Google Analytics, social media, daily research, web design and development, bloggers and writers|"50 E. Freedom Way,
Cincinnati, Ohio, 45202"|.|info@endslaverynow.org|www.endslaverynow.org|No information on contact info for Central Texas Coalition, just history about the group||||||||||||||||
Restore a Voice|To restore freedom, dignity, and hope, to survivors of human trafficking through faith-based solutions that foster healing, education, and advocacy|Human Trafficking|.|.|.,.,.,0|(512) 672-9030|worshipone@sbcglobal.net|www.restoreavoice.org|Currently reconstructing website, available for contact via Facebook, appears inactive since 2013||||||||||||||||
Trade in Hope|.|Human Trafficking|.|.|.,.,.,0|.|.|www.tradeinhope.com|Website appears to not have information, instead just various blog posts. Contact form needs to be filled out to obtain information about the organization||||||||||||||||
Austin Immigrant Rights Coalition|.|Immigration|.|.|"1304 E 6th St,
Austin, TX, 78702"|(512) 476-2472|.|www.austinirc.org|No contact information, various blog posts||||||||||||||||
Austin Refugee Roundtable|To provide fundamental support and services in order to ensure refugees in our area are equipped to become successful and productive citizens|Immigration|.|.|.,.,.,0|.|.|.|A coalition of various nonprofit organzations in the Austin area with no active website or social media pages||||||||||||||||
Office of Refugee Resettlement|To provide new populations with the opportunity to achieve their full potential in the United States by linking them to critical resources that assist them in becoming integrated members of American society|Immigration|.|.|"330 C Street S.W.,
Washington, D.C., 20201"|(202) 401-9246|.|www.acf.hhs.gov/orr|.||||||||||||||||
American Gateways (Formerly: Political Asylum Project of Austin)|To champion the dignity and human rights of immigrants, refugees and survivors of persecution, torture, conflict and human trafficking through exceptional immigration legal services at no or low cost, education and advocacy|Immigration|.|Translation and interpretation services, administrative work, psychological counseling, and medical exams|"314 E. Highland Mall Boulevard Suite 501,
Austin, TX, 78752"|(512) 478-0546|ashleyd@americangateways.org|www.americangateways.org|.||||||||||||||||
Refugee Services of Texas|To welcome refugees, immigrants, and other displaced peoples and supports them in integrating and thriving in their new communities|Immigration|.|Create an account to receive volunteer information|"500 East St. Johns Ave Suite 1.280,
Austin, TX, 78752"|(512) 472-9472|austin@rstx.org|www.rstx.org|.||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||||||||||||||||||||||||
